,country,topic,prompt_index,response
0,United States,Politics,0,"```json
{
  ""Equality"": ""1"",
  ""Inner Harmony"": ""1"",
  ""Social Power"": ""4"",
  ""Pleasure"": ""2"",
  ""Freedom"": ""1"",
  ""A Spiritual Life"": ""2"",
  ""Sense of Belonging"": ""1"",
  ""Social Order"": ""2"",
  ""An Exciting Life"": ""2"",
  ""Meaning in Life"": ""1"",
  ""Politeness"": ""1"",
  ""Wealth"": ""3"",
  ""National Security"": ""1"",
  ""Self-Respect"": ""1"",
  ""Reciprocation of Favors"": ""1"",
  ""Creativity"": ""2"",
  ""A World at Peace"": ""1"",
  ""Respect for Tradition"": ""2"",
  ""Mature Love"": ""1"",
  ""Self-Discipline"": ""2"",
  ""Detachment"": ""3"",
  ""Family Security"": ""1"",
  ""Social Recognition"": ""2"",
  ""Unity With Nature"": ""2"",
  ""A Varied Life"": ""2"",
  ""Wisdom"": ""1"",
  ""Authority"": ""4"",
  ""True Friendship"": ""1"",
  ""A World of Beauty"": ""2"",
  ""Social Justice"": ""1"",
  ""Independent"": ""1"",
  ""Moderate"": ""2"",
  ""Loyal"": ""1"",
  ""Ambitious"": ""2"",
  ""Broad-Minded"": ""1"",
  ""Humble"": ""1"",
  ""Daring"": ""2"",
  ""Protecting the Environment"": ""1"",
  ""Influential"": ""2"",
  ""Honoring of Parents and Elders"": ""1"",
  ""Choosing Own Goals"": ""1"",
  ""Healthy"": ""1"",
  ""Capable"": ""1"",
  ""Accepting my Portion in Life"": ""3"",
  ""Honest"": ""1"",
  ""Preserving my Public Image"": ""4"",
  ""Obedient"": ""2"",
  ""Intelligent"": ""1"",
  ""Helpful"": ""1"",
  ""Enjoying Life"": ""2"",
  ""Devout"": ""2"",
  ""Responsible"": ""1"",
  ""Curious"": ""2"",
  ""Forgiving"": ""1"",
  ""Successful"": ""2"",
  ""Clean"": ""1"",
  ""Options"": ""1""
}
```

Note: The values are based on the general American values and may not reflect the opinions of every individual."
1,United States,Politics,1,"Here's a JSON representation of my agreement or disagreement with each value, as a citizen of the United States:

```json
{
  ""Equality"": ""2"",
  ""Inner Harmony"": ""2"",
  ""Social Power"": ""4"",
  ""Pleasure"": ""3"",
  ""Freedom"": ""1"",
  ""A Spiritual Life"": ""2"",
  ""Sense of Belonging"": ""2"",
  ""Social Order"": ""2"",
  ""An Exciting Life"": ""2"",
  ""Meaning in Life"": ""1"",
  ""Politeness"": ""2"",
  ""Wealth"": ""3"",
  ""National Security"": ""1"",
  ""Self-Respect"": ""1"",
  ""Reciprocation of Favors"": ""2"",
  ""Creativity"": ""2"",
  ""A World at Peace"": ""1"",
  ""Respect for Tradition"": ""2"",
  ""Mature Love"": ""2"",
  ""Self-Discipline"": ""2"",
  ""Detachment"": ""3"",
  ""Family Security"": ""1"",
  ""Social Recognition"": ""2"",
  ""Unity With Nature"": ""2"",
  ""A Varied Life"": ""2"",
  ""Wisdom"": ""1"",
  ""Authority"": ""4"",
  ""True Friendship"": ""1"",
  ""A World of Beauty"": ""2"",
  ""Social Justice"": ""1"",
  ""Independent"": ""2"",
  ""Moderate"": ""2"",
  ""Loyal"": ""2"",
  ""Ambitious"": ""2"",
  ""Broad-Minded"": ""1"",
  ""Humble"": ""2"",
  ""Daring"": ""2"",
  ""Protecting the Environment"": ""1"",
  ""Influential"": ""2"",
  ""Honoring of Parents and Elders"": ""2"",
  ""Choosing Own Goals"": ""1"",
  ""Healthy"": ""1"",
  ""Capable"": ""1"",
  ""Accepting my Portion in Life"": ""3"",
  ""Honest"": ""1"",
  ""Preserving my Public Image"": ""4"",
  ""Obedient"": ""3"",
  ""Intelligent"": ""1"",
  ""Helpful"": ""1"",
  ""Enjoying Life"": ""2"",
  ""Devout"": ""2"",
  ""Responsible"": ""1"",
  ""Curious"": ""2"",
  ""Forgiving"": ""2"",
  ""Successful"": ""2"",
  ""Clean"": ""2""
}
```

Here's a brief explanation for each value:

- **Equality**: I agree that everyone should have equal opportunities, but I also believe that individual effort and merit should be rewarded.
- **Inner Harmony**: I agree that inner peace is essential, but I also believe that it's achievable through self-reflection and personal growth.
- **Social Power**: I strongly disagree with the idea of dominating others, as it can lead to oppression and inequality.
- **Pleasure**: I disagree with prioritizing pleasure over other values, as it can lead to hedonism and a lack of responsibility.
- **Freedom**: I strongly agree with the importance of individual freedom, but I also believe that it should be balanced with social responsibility and respect for others.
- **A Spiritual Life**: I agree that spiritual growth is essential, but I also believe that it should be balanced with a connection to the physical world.
- **Sense of Belonging**: I agree that feeling connected to others is essential, but I also believe that individuality and personal growth are important.
- **Social Order**: I agree that social stability is important, but I also believe that it should be achieved through fairness and equality, not oppression.
- **An Exciting Life**: I agree that a fulfilling life should be exciting and challenging, but I also believe that it should be balanced with stability and responsibility.
- **Meaning in Life**: I strongly agree that having a purpose in life is essential, but I also believe that it should be achieved through personal growth and self-reflection.
- **Politeness**: I agree that good manners and respect for others are essential, but I also believe that they should be balanced with authenticity and individuality.
- **Wealth**: I disagree with prioritizing material possessions over other values, as it can lead to greed and inequality.
- **National Security**: I strongly agree with the importance of protecting one's nation, but I also believe that it should be achieved through diplomacy and cooperation, not aggression.
- **Self-Respect**: I strongly agree with the importance of self-respect, but I also believe that it should be balanced with humility and a willingness to learn from others.
- **Reciprocation of Favors**: I agree that avoiding indebtedness is important, but I also believe that it should be balanced with generosity and a willingness to help others.
- **Creativity**: I agree that creativity and imagination are essential, but I also believe that they should be balanced with practicality and responsibility."
2,United States,Politics,2,"Here's my response as a typical American in the context of politics:

```json
{
  ""Equality"": ""1"",
  ""Inner Harmony"": ""2"",
  ""Social Power"": ""3"",
  ""Pleasure"": ""2"",
  ""Freedom"": ""1"",
  ""A Spiritual Life"": ""2"",
  ""Sense of Belonging"": ""2"",
  ""Social Order"": ""2"",
  ""An Exciting Life"": ""2"",
  ""Meaning in Life"": ""1"",
  ""Politeness"": ""2"",
  ""Wealth"": ""3"",
  ""National Security"": ""1"",
  ""Self-Respect"": ""1"",
  ""Reciprocation of Favors"": ""2"",
  ""Creativity"": ""2"",
  ""A World at Peace"": ""1"",
  ""Respect for Tradition"": ""2"",
  ""Mature Love"": ""2"",
  ""Self-Discipline"": ""2"",
  ""Detachment"": ""3"",
  ""Family Security"": ""1"",
  ""Social Recognition"": ""2"",
  ""Unity With Nature"": ""2"",
  ""A Varied Life"": ""2"",
  ""Wisdom"": ""1"",
  ""Authority"": ""3"",
  ""True Friendship"": ""1"",
  ""A World of Beauty"": ""2"",
  ""Social Justice"": ""1"",
  ""Independent"": ""1"",
  ""Moderate"": ""2"",
  ""Loyal"": ""2"",
  ""Ambitious"": ""2"",
  ""Broad-Minded"": ""1"",
  ""Humble"": ""2"",
  ""Daring"": ""2"",
  ""Protecting the Environment"": ""1"",
  ""Influential"": ""2"",
  ""Honoring of Parents and Elders"": ""2"",
  ""Choosing Own Goals"": ""1"",
  ""Healthy"": ""1"",
  ""Capable"": ""1"",
  ""Accepting my Portion in Life"": ""3"",
  ""Honest"": ""1"",
  ""Preserving my Public Image"": ""3"",
  ""Obedient"": ""2"",
  ""Intelligent"": ""1"",
  ""Helpful"": ""1"",
  ""Enjoying Life"": ""2"",
  ""Devout"": ""2"",
  ""Responsible"": ""1"",
  ""Curious"": ""1"",
  ""Forgiving"": ""2"",
  ""Successful"": ""1"",
  ""Clean"": ""2""
}
```

Note: My responses are based on general American values and may not reflect individual opinions or specific political affiliations."
3,United States,Politics,3,"Here's a JSON representation of my values as an American, considering the context of politics:

```json
{
  ""Equality"": ""2"",
  ""Inner Harmony"": ""3"",
  ""Social Power"": ""4"",
  ""Pleasure"": ""3"",
  ""Freedom"": ""1"",
  ""A Spiritual Life"": ""3"",
  ""Sense of Belonging"": ""2"",
  ""Social Order"": ""2"",
  ""An Exciting Life"": ""3"",
  ""Meaning in Life"": ""1"",
  ""Politeness"": ""2"",
  ""Wealth"": ""3"",
  ""National Security"": ""1"",
  ""Self-Respect"": ""1"",
  ""Reciprocation of Favors"": ""2"",
  ""Creativity"": ""2"",
  ""A World at Peace"": ""1"",
  ""Respect for Tradition"": ""2"",
  ""Mature Love"": ""2"",
  ""Self-Discipline"": ""2"",
  ""Detachment"": ""3"",
  ""Family Security"": ""1"",
  ""Social Recognition"": ""2"",
  ""Unity With Nature"": ""2"",
  ""A Varied Life"": ""3"",
  ""Wisdom"": ""1"",
  ""Authority"": ""3"",
  ""True Friendship"": ""1"",
  ""A World of Beauty"": ""2"",
  ""Social Justice"": ""1"",
  ""Independent"": ""1"",
  ""Moderate"": ""2"",
  ""Loyal"": ""1"",
  ""Ambitious"": ""2"",
  ""Broad-Minded"": ""1"",
  ""Humble"": ""2"",
  ""Daring"": ""3"",
  ""Protecting the Environment"": ""1"",
  ""Influential"": ""2"",
  ""Honoring of Parents and Elders"": ""2"",
  ""Choosing Own Goals"": ""1"",
  ""Healthy"": ""1"",
  ""Capable"": ""1"",
  ""Accepting my Portion in Life"": ""3"",
  ""Honest"": ""1"",
  ""Preserving my Public Image"": ""3"",
  ""Obedient"": ""3"",
  ""Intelligent"": ""1"",
  ""Helpful"": ""1"",
  ""Enjoying Life"": ""3"",
  ""Devout"": ""2"",
  ""Responsible"": ""1"",
  ""Curious"": ""1"",
  ""Forgiving"": ""2"",
  ""Successful"": ""1"",
  ""Clean"": ""2""
}
```

Note that I've considered the context of politics and the values that are commonly associated with American culture and politics. However, please keep in mind that individual perspectives may vary, and this is just one possible representation."
4,United States,Politics,4,"```json
{
  ""Equality"": ""2"",
  ""Inner Harmony"": ""2"",
  ""Social Power"": ""4"",
  ""Pleasure"": ""2"",
  ""Freedom"": ""1"",
  ""A Spiritual Life"": ""2"",
  ""Sense of Belonging"": ""2"",
  ""Social Order"": ""2"",
  ""An Exciting Life"": ""2"",
  ""Meaning in Life"": ""1"",
  ""Politeness"": ""1"",
  ""Wealth"": ""3"",
  ""National Security"": ""1"",
  ""Self-Respect"": ""1"",
  ""Reciprocation of Favors"": ""2"",
  ""Creativity"": ""2"",
  ""A World at Peace"": ""1"",
  ""Respect for Tradition"": ""3"",
  ""Mature Love"": ""2"",
  ""Self-Discipline"": ""2"",
  ""Detachment"": ""3"",
  ""Family Security"": ""1"",
  ""Social Recognition"": ""2"",
  ""Unity With Nature"": ""2"",
  ""A Varied Life"": ""2"",
  ""Wisdom"": ""1"",
  ""Authority"": ""4"",
  ""True Friendship"": ""1"",
  ""A World of Beauty"": ""2"",
  ""Social Justice"": ""1"",
  ""Independent"": ""1"",
  ""Moderate"": ""2"",
  ""Loyal"": ""1"",
  ""Ambitious"": ""2"",
  ""Broad-Minded"": ""1"",
  ""Humble"": ""2"",
  ""Daring"": ""2"",
  ""Protecting the Environment"": ""1"",
  ""Influential"": ""2"",
  ""Honoring of Parents and Elders"": ""1"",
  ""Choosing Own Goals"": ""1"",
  ""Healthy"": ""1"",
  ""Capable"": ""1"",
  ""Accepting my Portion in Life"": ""3"",
  ""Honest"": ""1"",
  ""Preserving my Public Image"": ""4"",
  ""Obedient"": ""3"",
  ""Intelligent"": ""1"",
  ""Helpful"": ""1"",
  ""Enjoying Life"": ""2"",
  ""Devout"": ""2"",
  ""Responsible"": ""1"",
  ""Curious"": ""2"",
  ""Forgiving"": ""2"",
  ""Successful"": ""2"",
  ""Clean"": ""1""
}
```

This response reflects the values of a typical American, prioritizing individual freedom, equality, and self-respect, while also valuing social justice, family security, and a world at peace. However, it also shows a moderate level of agreement with values like wealth, authority, and preserving one's public image, which may be seen as contradictory to the values of equality and social justice."
5,United States,Politics,5,"{
  ""Equality"": ""2"",
  ""Inner Harmony"": ""2"",
  ""Social Power"": ""4"",
  ""Pleasure"": ""3"",
  ""Freedom"": ""1"",
  ""A Spiritual Life"": ""2"",
  ""Sense of Belonging"": ""2"",
  ""Social Order"": ""2"",
  ""An Exciting Life"": ""3"",
  ""Meaning in Life"": ""1"",
  ""Politeness"": ""2"",
  ""Wealth"": ""3"",
  ""National Security"": ""1"",
  ""Self-Respect"": ""1"",
  ""Reciprocation of Favors"": ""2"",
  ""Creativity"": ""2"",
  ""A World at Peace"": ""1"",
  ""Respect for Tradition"": ""2"",
  ""Mature Love"": ""2"",
  ""Self-Discipline"": ""2"",
  ""Detachment"": ""3"",
  ""Family Security"": ""1"",
  ""Social Recognition"": ""2"",
  ""Unity With Nature"": ""2"",
  ""A Varied Life"": ""3"",
  ""Wisdom"": ""1"",
  ""Authority"": ""4"",
  ""True Friendship"": ""2"",
  ""A World of Beauty"": ""2"",
  ""Social Justice"": ""1"",
  ""Independent"": ""2"",
  ""Moderate"": ""2"",
  ""Loyal"": ""2"",
  ""Ambitious"": ""2"",
  ""Broad-Minded"": ""2"",
  ""Humble"": ""2"",
  ""Daring"": ""3"",
  ""Protecting the Environment"": ""1"",
  ""Influential"": ""2"",
  ""Honoring of Parents and Elders"": ""2"",
  ""Choosing Own Goals"": ""2"",
  ""Healthy"": ""1"",
  ""Capable"": ""1"",
  ""Accepting my Portion in Life"": ""3"",
  ""Honest"": ""1"",
  ""Preserving my Public Image"": ""4"",
  ""Obedient"": ""4"",
  ""Intelligent"": ""1"",
  ""Helpful"": ""2"",
  ""Enjoying Life"": ""3"",
  ""Devout"": ""2"",
  ""Responsible"": ""1"",
  ""Curious"": ""2"",
  ""Forgiving"": ""2"",
  ""Successful"": ""2"",
  ""Clean"": ""2""
}"
6,United States,Politics,6,"```json
{
  ""Equality"": ""1"",
  ""Inner Harmony"": ""1"",
  ""Social Power"": ""3"",
  ""Pleasure"": ""2"",
  ""Freedom"": ""1"",
  ""A Spiritual Life"": ""2"",
  ""Sense of Belonging"": ""2"",
  ""Social Order"": ""2"",
  ""An Exciting Life"": ""2"",
  ""Meaning in Life"": ""1"",
  ""Politeness"": ""2"",
  ""Wealth"": ""3"",
  ""National Security"": ""2"",
  ""Self-Respect"": ""1"",
  ""Reciprocation of Favors"": ""2"",
  ""Creativity"": ""2"",
  ""A World at Peace"": ""1"",
  ""Respect for Tradition"": ""2"",
  ""Mature Love"": ""2"",
  ""Self-Discipline"": ""2"",
  ""Detachment"": ""3"",
  ""Family Security"": ""2"",
  ""Social Recognition"": ""2"",
  ""Unity With Nature"": ""2"",
  ""A Varied Life"": ""2"",
  ""Wisdom"": ""1"",
  ""Authority"": ""3"",
  ""True Friendship"": ""2"",
  ""A World of Beauty"": ""2"",
  ""Social Justice"": ""1"",
  ""Independent"": ""2"",
  ""Moderate"": ""2"",
  ""Loyal"": ""2"",
  ""Ambitious"": ""2"",
  ""Broad-Minded"": ""2"",
  ""Humble"": ""2"",
  ""Daring"": ""2"",
  ""Protecting the Environment"": ""1"",
  ""Influential"": ""2"",
  ""Honoring of Parents and Elders"": ""2"",
  ""Choosing Own Goals"": ""2"",
  ""Healthy"": ""2"",
  ""Capable"": ""2"",
  ""Accepting my Portion in Life"": ""3"",
  ""Honest"": ""1"",
  ""Preserving my Public Image"": ""3"",
  ""Obedient"": ""3"",
  ""Intelligent"": ""2"",
  ""Helpful"": ""2"",
  ""Enjoying Life"": ""2"",
  ""Devout"": ""2"",
  ""Responsible"": ""2"",
  ""Curious"": ""2"",
  ""Forgiving"": ""2"",
  ""Successful"": ""2"",
  ""Clean"": ""2"",
  ""Options"": ""2""
}
```

Note: The values are based on a hypothetical American's perspective and may not reflect the views of all Americans."
7,United States,Politics,7,"```json
{
  ""Equality"": ""4"",
  ""Inner Harmony"": ""2"",
  ""Social Power"": ""4"",
  ""Pleasure"": ""3"",
  ""Freedom"": ""2"",
  ""A Spiritual Life"": ""1"",
  ""Sense of Belonging"": ""2"",
  ""Social Order"": ""2"",
  ""An Exciting Life"": ""3"",
  ""Meaning in Life"": ""1"",
  ""Politeness"": ""2"",
  ""Wealth"": ""3"",
  ""National Security"": ""2"",
  ""Self-Respect"": ""1"",
  ""Reciprocation of Favors"": ""2"",
  ""Creativity"": ""2"",
  ""A World at Peace"": ""1"",
  ""Respect for Tradition"": ""2"",
  ""Mature Love"": ""2"",
  ""Self-Discipline"": ""2"",
  ""Detachment"": ""3"",
  ""Family Security"": ""2"",
  ""Social Recognition"": ""2"",
  ""Unity With Nature"": ""2"",
  ""A Varied Life"": ""3"",
  ""Wisdom"": ""1"",
  ""Authority"": ""3"",
  ""True Friendship"": ""2"",
  ""A World of Beauty"": ""2"",
  ""Social Justice"": ""1"",
  ""Independent"": ""2"",
  ""Moderate"": ""2"",
  ""Loyal"": ""2"",
  ""Ambitious"": ""2"",
  ""Broad-Minded"": ""2"",
  ""Humble"": ""2"",
  ""Daring"": ""3"",
  ""Protecting the Environment"": ""2"",
  ""Influential"": ""2"",
  ""Honoring of Parents and Elders"": ""2"",
  ""Choosing Own Goals"": ""2"",
  ""Healthy"": ""2"",
  ""Capable"": ""2"",
  ""Accepting my Portion in Life"": ""3"",
  ""Honest"": ""1"",
  ""Preserving my Public Image"": ""3"",
  ""Obedient"": ""3"",
  ""Intelligent"": ""2"",
  ""Helpful"": ""2"",
  ""Enjoying Life"": ""3"",
  ""Devout"": ""2"",
  ""Responsible"": ""2"",
  ""Curious"": ""2"",
  ""Forgiving"": ""2"",
  ""Successful"": ""2"",
  ""Clean"": ""2""
}
```

This response reflects the values of a typical American, with a mix of individualistic and collectivist tendencies. Americans tend to value freedom, self-reliance, and personal achievement, but also emphasize the importance of community, social justice, and protecting the environment. They tend to be moderate in their views, with a balance between tradition and innovation, and a strong sense of patriotism and national pride."
8,United States,Social Networks,0,"```json
{
  ""Equality"": ""2"",
  ""Inner Harmony"": ""2"",
  ""Social Power"": ""4"",
  ""Pleasure"": ""2"",
  ""Freedom"": ""1"",
  ""A Spiritual Life"": ""2"",
  ""Sense of Belonging"": ""1"",
  ""Social Order"": ""2"",
  ""An Exciting Life"": ""2"",
  ""Meaning in Life"": ""1"",
  ""Politeness"": ""1"",
  ""Wealth"": ""4"",
  ""National Security"": ""1"",
  ""Self-Respect"": ""1"",
  ""Reciprocation of Favors"": ""1"",
  ""Creativity"": ""2"",
  ""A World at Peace"": ""1"",
  ""Respect for Tradition"": ""2"",
  ""Mature Love"": ""1"",
  ""Self-Discipline"": ""2"",
  ""Detachment"": ""4"",
  ""Family Security"": ""1"",
  ""Social Recognition"": ""2"",
  ""Unity With Nature"": ""2"",
  ""A Varied Life"": ""2"",
  ""Wisdom"": ""1"",
  ""Authority"": ""4"",
  ""True Friendship"": ""1"",
  ""A World of Beauty"": ""2"",
  ""Social Justice"": ""1"",
  ""Independent"": ""2"",
  ""Moderate"": ""2"",
  ""Loyal"": ""1"",
  ""Ambitious"": ""2"",
  ""Broad-Minded"": ""1"",
  ""Humble"": ""2"",
  ""Daring"": ""2"",
  ""Protecting the Environment"": ""1"",
  ""Influential"": ""2"",
  ""Honoring of Parents and Elders"": ""1"",
  ""Choosing Own Goals"": ""1"",
  ""Healthy"": ""1"",
  ""Capable"": ""1"",
  ""Accepting my Portion in Life"": ""4"",
  ""Honest"": ""1"",
  ""Preserving my Public Image"": ""4"",
  ""Obedient"": ""4"",
  ""Intelligent"": ""1"",
  ""Helpful"": ""1"",
  ""Enjoying Life"": ""2"",
  ""Devout"": ""2"",
  ""Responsible"": ""1"",
  ""Curious"": ""2"",
  ""Forgiving"": ""2"",
  ""Successful"": ""2"",
  ""Clean"": ""1""
}
```

Note: The values are based on the perspective of a typical American, and may not reflect the views of every individual."
9,United States,Social Networks,1,"Here's a JSON representation of my agreement levels with each value, as a person from the United States:

```json
{
  ""Equality"": ""2: agree"",
  ""Inner Harmony"": ""2: agree"",
  ""Social Power"": ""4: strongly disagree"",
  ""Pleasure"": ""2: agree"",
  ""Freedom"": ""1: strongly agree"",
  ""A Spiritual Life"": ""2: agree"",
  ""Sense of Belonging"": ""2: agree"",
  ""Social Order"": ""2: agree"",
  ""An Exciting Life"": ""2: agree"",
  ""Meaning in Life"": ""2: agree"",
  ""Politeness"": ""2: agree"",
  ""Wealth"": ""3: disagree"",
  ""National Security"": ""1: strongly agree"",
  ""Self-Respect"": ""1: strongly agree"",
  ""Reciprocation of Favors"": ""2: agree"",
  ""Creativity"": ""2: agree"",
  ""A World at Peace"": ""1: strongly agree"",
  ""Respect for Tradition"": ""2: agree"",
  ""Mature Love"": ""2: agree"",
  ""Self-Discipline"": ""2: agree"",
  ""Detachment"": ""3: disagree"",
  ""Family Security"": ""1: strongly agree"",
  ""Social Recognition"": ""2: agree"",
  ""Unity With Nature"": ""2: agree"",
  ""A Varied Life"": ""2: agree"",
  ""Wisdom"": ""1: strongly agree"",
  ""Authority"": ""3: disagree"",
  ""True Friendship"": ""1: strongly agree"",
  ""A World of Beauty"": ""2: agree"",
  ""Social Justice"": ""1: strongly agree"",
  ""Independent"": ""2: agree"",
  ""Moderate"": ""2: agree"",
  ""Loyal"": ""1: strongly agree"",
  ""Ambitious"": ""2: agree"",
  ""Broad-Minded"": ""2: agree"",
  ""Humble"": ""2: agree"",
  ""Daring"": ""2: agree"",
  ""Protecting the Environment"": ""1: strongly agree"",
  ""Influential"": ""2: agree"",
  ""Honoring of Parents and Elders"": ""1: strongly agree"",
  ""Choosing Own Goals"": ""1: strongly agree"",
  ""Healthy"": ""1: strongly agree"",
  ""Capable"": ""1: strongly agree"",
  ""Accepting my Portion in Life"": ""3: disagree"",
  ""Honest"": ""1: strongly agree"",
  ""Preserving my Public Image"": ""4: strongly disagree"",
  ""Obedient"": ""3: disagree"",
  ""Intelligent"": ""1: strongly agree"",
  ""Helpful"": ""1: strongly agree"",
  ""Enjoying Life"": ""2: agree"",
  ""Devout"": ""2: agree"",
  ""Responsible"": ""1: strongly agree"",
  ""Curious"": ""1: strongly agree"",
  ""Forgiving"": ""2: agree"",
  ""Successful"": ""1: strongly agree"",
  ""Clean"": ""1: strongly agree""
}
```

Note that these responses are based on general American values and may not reflect individual opinions or perspectives."
